uf_codigo_ibge, ano, esfera, poder,quantidade_de_vinculos
24,2016,Municipal,Legislativo,3763
24,2017,Estadual,Executivo,55836
24,2017,Estadual,Judiciário,3563
24,2017,Estadual,Legislativo,2541
24,2017,Federal,Executivo,18963
24,2017,Federal,Judiciário,1971
24,2017,Federal,Legislativo,0
24,2017,Municipal,Executivo,130877
24,2017,Municipal,Legislativo,3920
24,2018,Estadual,Executivo,55249
24,2018,Estadual,Judiciário,3711
24,2018,Estadual,Legislativo,2493
24,2018,Federal,Executivo,19792
24,2018,Federal,Judiciário,1919
24,2018,Federal,Legislativo,0
24,2018,Municipal,Executivo,132286
24,2018,Municipal,Legislativo,4201
24,2019,Estadual,Executivo,54283
24,2019,Estadual,Judiciário,3738
24,2019,Estadual,Legislativo,2964
24,2019,Federal,Executivo,19715
24,2019,Federal,Judiciário,1851
24,2019,Federal,Legislativo,0
24,2019,Municipal,Executivo,134019
24,2019,Municipal,Legislativo,4402
25,2012,Estadual,Executivo,90568
25,2012,Estadual,Judiciário,0
25,2012,Estadual,Legislativo,0
25,2012,Federal,Executivo,15760
25,2012,Federal,Judiciário,2449
25,2012,Federal,Legislativo,2
25,2012,Municipal,Executivo,162318
25,2012,Municipal,Legislativo,3829
25,2013,Estadual,Executivo,91405
25,2013,Estadual,Judiciário,0
25,2013,Estadual,Legislativo,0
25,2013,Federal,Executivo,16942
25,2013,Federal,Judiciário,2194
25,2013,Federal,Legislativo,0
25,2013,Municipal,Executivo,170747
25,2013,Municipal,Legislativo,3121
25,2014,Estadual,Executivo,86114
25,2014,Estadual,Judiciário,0
25,2014,Estadual,Legislativo,0
25,2014,Federal,Executivo,17014
25,2014,Federal,Judiciário,2431
25,2014,Federal,Legislativo,0
25,2014,Municipal,Executivo,169707
25,2014,Municipal,Legislativo,3167
25,2015,Estadual,Executivo,84414
25,2015,Estadual,Judiciário,0
25,2015,Estadual,Legislativo,0
25,2015,Federal,Executivo,17312
25,2015,Federal,Judiciário,2304
25,2015,Federal,Legislativo,0
25,2015,Municipal,Executivo,170442
25,2015,Municipal,Legislativo,3434
25,2016,Estadual,Executivo,78826
25,2016,Estadual,Judiciário,0
25,2016,Estadual,Legislativo,0
25,2016,Federal,Executivo,16479
25,2016,Federal,Judiciário,2534
25,2016,Federal,Legislativo,0
25,2016,Municipal,Executivo,162267
25,2016,Municipal,Legislativo,3573
25,2017,Estadual,Executivo,78066
25,2017,Estadual,Judiciário,0
25,2017,Estadual,Legislativo,0
25,2017,Federal,Executivo,17805
25,2017,Federal,Judiciário,2244
25,2017,Federal,Legislativo,0
25,2017,Municipal,Executivo,169524
25,2017,Municipal,Legislativo,4327
25,2018,Estadual,Executivo,69200
25,2018,Estadual,Judiciário,456
25,2018,Estadual,Legislativo,0
25,2018,Federal,Executivo,15739
25,2018,Federal,Judiciário,2447
25,2018,Federal,Legislativo,0
25,2018,Municipal,Executivo,162930
25,2018,Municipal,Legislativo,4560
25,2019,Estadual,Executivo,65026
25,2019,Estadual,Judiciário,448
25,2019,Estadual,Legislativo,0
25,2019,Federal,Executivo,17304
25,2019,Federal,Judiciário,2215
25,2019,Federal,Legislativo,0
25,2019,Municipal,Executivo,165604
